Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Мария Мария,22 апреля 2025,"Посетили данное заведение и остались очень довольны, очень вкусная кухня, приятная атмосфера, персонал очень вежливый, внимательный, персонал относиться к гостям с большим уважением, что не мало важно и большая редкость в заведениях, отдельно хочу сказать спасибо официанту Тимуру и Ерболу, все очень быстро вкусно, ни разу не ждали официанта, как повторюсь во многих заведениях не дозваться что бы элементарно сделать заказ, и заказ приняли, и посоветовали, остались под большим впечатлением после посещения данного заведения Steklo Family. Отдельная благодарность администратору Маргарите, очень приятная, внимательная женщина! Видно что администратору очень важно что бы каждый гость чувствовал комфорт, и был доволен, администратор Маргарита находится в зале и открыта к каждому гостю, благодарю за прекрасный ужин, и теплую атмосферу, теперь хочется постоянно посещать это заведение!",5,Steklo Family Grill Cafe,3.8,1124
Андрей Баянов,21 апреля 2025,"Все хорошо, но ""шашлыки из баранины"" нужно переименовать в ""шашлыки из жира баранины"", зажаренный так со всех сторон, что фиг определишь мясо это или жиррр. ))) , так что не снимайте с шампуров, потыкайте на присутствие жира, и если не понравится, просите чтоб поменяли. а так борщ , солянка зачетные, и остальные блюда , тоже очень вкусные",3,Steklo Family Grill Cafe,3.8,1124
Айша Аукерова,"19 апреля 2025, отредактирован","В последне наше посещение очень неприятно пахла рыба, были сомнения что она свежая, либо какие то несочетаемые приправы так пахли.
Обслуживание очень нравится.
У входа курящие люди стояли, и я пропахла сигаретами, что не приятно для некурящего.",2,Steklo Family Grill Cafe,3.8,1124
Александра Кравченко,18 апреля 2025,"Отличные официанты ,все улыбаются ,приветливые и все очень вкусно",5,Steklo Family Grill Cafe,3.8,1124
Акмарал Нургалиева,18 апреля 2025,"Бүгін стекло да болдық, бәрі жақсы",5,Steklo Family Grill Cafe,3.8,1124
Аяжан Айтжанкызы,"18 апреля 2025, отредактирован","Вкусно все. Обслуживание хорошее, все круто",5,Steklo Family Grill Cafe,3.8,1124
Дана Фаттахова,16 апреля 2025,"Добрый вечер! Ербол очень приятный официант! Все вовремя приносит, на все просьбы реагирует оперативно, обслуживает обалденно! Обслуживание 10 +",5,Steklo Family Grill Cafe,3.8,1124
Кука Ошакбай,"15 апреля 2025, отредактирован","Не понравилась ,обслуживание ноль!!!!",1,Steklo Family Grill Cafe,3.8,1124
Айсулу Айдарханова,15 апреля 2025,Забронировали столик хотели посидеть уютно и вкусно покушать.Пришли столик был грязным!Ждали официанта целую вечность .Не советую сервис на нуле .Ушли,1,Steklo Family Grill Cafe,3.8,1124
zemlinkaa,15 апреля 2025,Ербол официант отлично обслужил! Всё понравилось!,5,Steklo Family Grill Cafe,3.8,1124
Nadezhda Matveeva,"14 апреля 2025, отредактирован","Испортились сильно,раньше было очень вкусно и обслуживание хорошее было…но последние 3 визита нам испортили впечатление ,больше рисковать не будем.",2,Steklo Family Grill Cafe,3.8,1124
Yerkezhan Razhanova,"13 апреля 2025, отредактирован","В Филадельфии много риса и мало сыра.
Шумно, акустика плохая
Вкусный хачапури и взрывной шоколад",3,Steklo Family Grill Cafe,3.8,1124
Зарган Ахмедова,13 апреля 2025,"Добрый вечер,ходим в это кафе со дня открытия…
Все прекрасно,все вкусно… но для чего вы открываете дверь я немного не поняла,сегодня мой ребенок маленький выбежал мы его ели успели выловить перед дорогой в секунды какие то,на скорости летела машина.
Для чего вы открыли дверь? Почему в открытом доступе для детей эта дверь,прекрасно зная что у вас там улица где летают машины.
Раньше у вас стояла дверь.Ребенок увидев что не препятствия выбежал.",5,Steklo Family Grill Cafe,3.8,1124
Анастасия Васина,11 апреля 2025,"Вкусная кухня, быстрое и приятное обслуживание! Очень понравилась подача блюд! Рекомендуем к посещению!",5,Steklo Family Grill Cafe,3.8,1124
Юлия Мукатаева,9 апреля 2025,Всегда вкусно кормят.,5,Steklo Family Grill Cafe,3.8,1124
Оксана Акимова,7 апреля 2025,"Не первый раз ужинаем в этом заведении, что сразу подкупило , так это обслуживание, максимально дружелюбный и внимательный персонал, официанты молодцы знают меню на 100% и могут посоветовать. Администратор ( к сожалению Незнаю имени) подходила за вечер несколько раз интересуясь всё ли в порядке и всё ли нам нравится. Касаемо кухни , заказывали мясо , роллы и салат . Всё безумно вкусно. В общем персонал , атмосфера и кухня просто огонь, придём ещё и не раз🙂😍",5,Steklo Family Grill Cafe,3.8,1124
Бернара Махседова,6 апреля 2025,Администрация оффицианты очень дружелюбные все очень вкусно ✊❤️❤️,5,Steklo Family Grill Cafe,3.8,1124
Di Di,5 апреля 2025,Все супер !👍👍👍,5,Steklo Family Grill Cafe,3.8,1124
Oxana Kazantseva,5 апреля 2025,"Прекрасное обслуживание! Официант Ербол , теплое отношение, внимательное обслуживание, знание ассортимента на все 100%
Шашлыки вкусные, рыбное ассорти, молочные коктейли все очень очень вкусно 🤤",5,Steklo Family Grill Cafe,3.8,1124
Ажар Бакытбекова,3 апреля 2025,"Персонал просто пушка лапочки!)
Все было вкусно и уютно, спасибо, придем еще!)👍🏻👍🏻👍🏻👍🏻",5,Steklo Family Grill Cafe,3.8,1124
Diana Dikhanbay,3 апреля 2025,"вкусно, но ужасный сервис. приходится искать официантов по всему залу или болтают у стойки.",3,Steklo Family Grill Cafe,3.8,1124
Гулим Спанова,1 апреля 2025,"Добрый день хочу выразить благодарность администратору Назгуль встретили и проводили нас на высшем уровне, кухня просто бомба и оф Дияра продолжение праздника прошло классно блогодорим за вечер!",5,Steklo Family Grill Cafe,3.8,1124
Neon,"1 апреля 2025, отредактирован",Хорошее кофе очень вкусно готовят,5,Steklo Family Grill Cafe,3.8,1124
Зарина Ермековна,"1 апреля 2025, отредактирован","Приезжали с семьей, очень понравилась кухня, все вкусно, шашлык просто супер, также хотела отметить обслуживание, персонал девочки все вежливые, на протяжении всего вечера меняли нам посуду, соблюдали такую чистоту нашего праздничного стола. Обязательно вернемся к вам. Спасибо.",5,Steklo Family Grill Cafe,3.8,1124
Константин Богомолов,31 марта 2025,"Ужасное место, если присмотрется то можно увидеть что везде грязь и бегают жучки",1,Steklo Family Grill Cafe,3.8,1124
Maxim Ligay,30 марта 2025,"Заказал еду через яндекс в этом заведении. Выбрал 2 порции медальонов и салат цезарь. Указал в комментарии, что салат нужен без заправки соусом,а 2 стейки разной прожарки:1 well done,а второй medium well. В итоге салат с соусом, а стейки сырые. В итоге 16 тысяч в никуда.",1,Steklo Family Grill Cafe,3.8,1124
Елена Чернышова,29 марта 2025,"Были с мужем на свидании! Всё очень понравилось, зал-обстановка тихая, спокойная, приглушенный свет и музыка распологали расслабится и поговорить откровенно, официанты девочки умницы, подсказали по меню всё что нас интересовало, на юмор реагировали юмором, молодцы! Администратор была приветлива и очень тактична, если не ошибаюсь, то зовут её Назым. Еда! Блюда приносили в меру Горячими, это очень приятно! Мясо просто таяло во рту, оно было мегкое, нежное, сочное мммм, очень вкусно! Салаты были свежие и соуса в них было не много и не мало, что только подчеркивало вкус. Спасибо большое, вернёмся снова🤗",5,Steklo Family Grill Cafe,3.8,1124
Сауле Болатбекова,"28 марта 2025, отредактирован",Вкусно и обслуживание отличное,5,Steklo Family Grill Cafe,3.8,1124
Just Bond,28 марта 2025,"Не были тут года 1.5. Пришли минут за 40 до ифтара, заказали шашлык, муж свининой остался доволен, хотя она выглядела сгоревшей, я бараниной - нет. И бон филе и кавказкий были жилистыми, жесткими и сухими. Белый соус прокисший. Несли шашлык минут 40. В общем, разочарование.",3,Steklo Family Grill Cafe,3.8,1124
Тогжан Калдыбаева,"25 марта 2025, отредактирован",Супер кухня!!!,5,Steklo Family Grill Cafe,3.8,1124
Cerasus .,"25 марта 2025, отредактирован","Очень хорошее обслуживание, и вкусные блюда",5,Steklo Family Grill Cafe,3.8,1124
Freeman Yerkin,24 марта 2025,"Ужасное место, не ходите туда! Сходил на ауыз ашар, заказал харчо, в супе нашёл железку от металлической губки для мытья посуды, ужаснулся, позвал официанта они сказали заменим сами проследим чтоб было все хорошо, заказал бестроганоф через час принесли а там остаток из мочалка для посуды зелёного цвета, меня уже чуть не стошнило, короче остался голодный с учётом того что держал пост... кроме простите ничего не могли, такому повору лучше не работать в общепите.",1,Steklo Family Grill Cafe,3.8,1124
Аяжан Токтасынова,"24 марта 2025, отредактирован","Еда вкусная, цены приемлемые, ждали вроде недолго, все понравилось👍 но жаль, что не было роллов, и было бы чуть светлее, чтобы делать фотографии)",5,Steklo Family Grill Cafe,3.8,1124
Просто Ючик,21 марта 2025,"Уже не в первый раз приходим в Steklo. Хочу оставить отзыв от 21 марта. Мы пришли компанией из четырех человек и очень хотели посидеть на летке,к сожалению летка была закрыта,но прекрасная менеджер(к сожалению не разглядела имя на бейдже) сделала нам исключение и предоставила нам стол и официанта на летке,как мы и хотели. Клиенториентированность 10/10. Шашлыки отличные(особенно бараньи ребрышки по совету официанта),пиво и домашнее вино как всегда супер,остались в полном восторге. Отдельное спасибо официантке Виктории,что подготовила нам стол и официанту Ерболу за прекрасное обслуживание,внимательность и уютную атмосферу. Однозначно придём ещё и от души рекомендуем вам посетить данное заведение!",5,Steklo Family Grill Cafe,3.8,1124
Алихан Есиркеп,21 марта 2025,"Прекрасный, приветливый персонал",5,Steklo Family Grill Cafe,3.8,1124
Антон Ким,19 марта 2025,Впервые ел такой отвратительный шашлык. Пережаренный. А шашлык семечки так вообще угли на косточках. Официантка в конце счет несла 20 минут. Обстановка нормальная. Но кухня отстой.,1,Steklo Family Grill Cafe,3.8,1124
Балкия Пахратдинова,"18 марта 2025, отредактирован","Ербол официантка коп Рахмет, оз жумысын керемет аткарды. Ауыз ашарга тамакты уакытында акелып, барин тазап, сурап турды. Тамактары дамды болды👍👍",5,Steklo Family Grill Cafe,3.8,1124
Masha Al,"18 марта 2025, отредактирован","Отличная кухня,внимательные официанты, золотой администратор, прекрасный интерьер. Спасибо за проведение праздника, все было на высшем уровне!!",5,Steklo Family Grill Cafe,3.8,1124
Екатерина Шаймарданова,"16 марта 2025, отредактирован",Всё очень вкусно. Особенно мясное ассорти. Обслуживание хорошее.,5,Steklo Family Grill Cafe,3.8,1124
Ксения Терёшина,"15 марта 2025, отредактирован","Еда вкусная. Напитки шикарные. Атмосфера очень уютная, вроде находишься в заведении но все так по домашнему. Официанты вежливые. Чесночные гарлики вообще улет ⭐️⭐️⭐️⭐️⭐️",5,Steklo Family Grill Cafe,3.8,1124
Ханым Шбекбаева,"13 марта 2025, отредактирован","Шашлыки там шикарные, рекомендую",5,Steklo Family Grill Cafe,3.8,1124
Dilya Zak,11 марта 2025,Очень уютное заведение☺️😊 подача блюд красивое и очень вкусное 👍🏻 шашлыки сочные 😋 блюдо по кухне отменные ) персонал очень вежливый и внимательный) спасибо большое за прекрасный вечер приду еще и не раз ),5,Steklo Family Grill Cafe,3.8,1124
Диляра Разиева,10 марта 2025,"Уютное место, вкусная кухня.",5,Steklo Family Grill Cafe,3.8,1124
Daniyar Zhenissov,"9 марта 2025, отредактирован",Жілік май айталмадым 😍,5,Steklo Family Grill Cafe,3.8,1124
Dinara Tuganbayeva,8 марта 2025,"Никогда ни ногой сюда!!!
Не рекомендую 🤮🤮🤮
Принесли шашлык который как жижа жаль надо было сфотографировать
Официант сказала что было видимо сыроватое фууууу съела кусочек меня тошнит что за свинское отношение фуу
3 куска жира 2 куска мяса и жижа в середине палочки 🤮",1,Steklo Family Grill Cafe,3.8,1124
Балауса Сагынбек,8 марта 2025,Отвратительный администратор женщина в возрасте,1,Steklo Family Grill Cafe,3.8,1124
Fuck EA,"сегодня, отредактирован","Лучший том-ям который я кушал в этом городе. Единственная претензия это плохой контроль температуры в здании, стоит над этим поработать, тем не менее провел там время с удовольствием.",5,TomYumBar,4.9,3678
Nailya Nassyrova-Rau,28 апреля 2025,"Сегодня зашла пообедать, хочу выразить огромную благодарность поварам и кондитерам, и особенно прекрасной девушке Ган Аните. Давно не получала такой гастрономический оргазм от обеда 🙏♥️😘.",5,TomYumBar,4.9,3678
Динара Абдибекова,28 апреля 2025,"Нереально вкусно и уютно! Очень вежливый персонал. 👍🏻👍🏻👍🏻
Честный отзыв, ребята 😉",5,TomYumBar,4.9,3678
Байбулатова Баглан,"28 апреля 2025, отредактирован",Не ожидала что может быть так вкусно,5,TomYumBar,4.9,3678
Чингис Дюзбаев,27 апреля 2025,"Самый вкусный Том Ям который я пробовал, МОЛОДЦЫ",5,TomYumBar,4.9,3678
inst @utmsv,27 апреля 2025,немного том ям не понравился слишком жирный а суши просто обалденные все советую,5,TomYumBar,4.9,3678
Dameli Kabduldina,27 апреля 2025,"здесь впервые, никак не могла найти место где готовят действительно вкусный Том Ям, и наконец НАШЛА🥹
Очень вкусно! Очень вежливый персонал! Я осталась очень довольной, теперь буду постоянным гостем, спасибо большое!🔥",5,TomYumBar,4.9,3678
Aidyn,27 апреля 2025,"Лучший том ям что я ел, сервис на высоте. Все чисто и уютно.",5,TomYumBar,4.9,3678
Наталья,27 апреля 2025,"За том-ямом только сюда! Любим это место! Вкусно, чисто, интересно, качественное обслуживание! Официант Казыбек - выше всяких похвал! Благодарим!",5,TomYumBar,4.9,3678
Sabira Smailova,"26 апреля 2025, отредактирован","часто приходим с друзьями,все классно и вкусно
официанты вежливые
p.s организуйте пожалуйста местечко для намаза 🙏🏼",5,TomYumBar,4.9,3678
Утева Гульсара,26 апреля 2025,"Ходим сюда всей семьей! Самый вкусный Том Ям (вкуснее, чем в Азии😉). А креветки в панировке- отдельное наслаждение!😋. Детям всегда найдется вкуснятина! Даже есть такие приятности- дети раскрашивают картинки и получают десерт!👌",5,TomYumBar,4.9,3678
Томирис Абдуллаева,26 апреля 2025,Большое спасибо официанту Жанэль за сервис💜 Очень приветливая и вежливая. Еда на высшем уровне 👍🏻,5,TomYumBar,4.9,3678
Pyshkareva Lena,26 апреля 2025,#TomYamKids,5,TomYumBar,4.9,3678
Kamosya SS,26 апреля 2025,"Том ям вкусный,в заведении чисто,персонал приветливый,официант Жанель милая и очень доброжелательная 🥺🩷",5,TomYumBar,4.9,3678
Saniia Q,26 апреля 2025,Очень хорошее обслуживание! Особенно официант Жанэль🫶🏽,5,TomYumBar,4.9,3678
Анастасия Когай,"25 апреля 2025, отредактирован","Добрый день. Очень уютный ресторан. Вкусная кухня, вежливый персонал. Всё понравилось. Самый вкусный том ян. Кушаем только тут. Спасибо",5,TomYumBar,4.9,3678
Владимир Когай,"25 апреля 2025, отредактирован","Хорошая атмосфера, Отличная кухня. Нашей семье, особенно детям очень нравится тут. Все отлично и вкусно. Спасибо",5,TomYumBar,4.9,3678
Azamat Spankulov,25 апреля 2025,Вкусный томям и быстрый сервис - официант Дони,5,TomYumBar,4.9,3678
Арай Тукеева,25 апреля 2025,"Супер обслуживание! Парень Дони, очень чуткий, сразу принес деткам карандаши и разукрашку. Томям тут самый вкусный, дети обожают курицу териаки. Всегда приходим, и всегда довольны🙂‍↕️🥰🥰🥰",5,TomYumBar,4.9,3678
Islam Kozhayev,25 апреля 2025,"обожаю это заведение, уже много лет кушаю тут. нравится даже больше, чем в Тае. Ильяс супер милый ;)",5,TomYumBar,4.9,3678
Акмарал,25 апреля 2025,"Самый вкусный том ям
Быстрое и внимательное обслуживание
Однозначно вернёмся ещё не раз. Спасибо 🧡",5,TomYumBar,4.9,3678
Алена Тихоненко,"25 апреля 2025, отредактирован","Том ям просто бомба! Очень вкусный чай и десерты. Цена правда немного кусается, но оно того стоит",5,TomYumBar,4.9,3678
jjjj kekekek,24 апреля 2025,"Всегда возвращаюсь сюда за вкуснейшим томямом и приятной атмосферой. Официанты вежливые и шустрые, особенно запомнилась девочка по имени Жасмин(?надеюсь не ошибаюсь). Очень улыбчивая и милая, проверяла всё ли в порядке, всё ли вкусно и подсказывала хорошие варианты по меню. Хочется приходить ещё и ещё☺️!",5,TomYumBar,4.9,3678
Mera `,24 апреля 2025,самый вкусный том ям в городе,5,TomYumBar,4.9,3678
Aiym Nurmukhambetova,"23 апреля 2025, отредактирован","Очень понравилось заведение, вкусная еда, приятная атмосфера, особенно понравилось обслуживание официанта Ильяса☺️👍",5,TomYumBar,4.9,3678
Zhaksylyk Tomiris,23 апреля 2025,"Были сегодня тут. Отличное место, все вкусно, крутое обслуживание , огромное спасибо официанту Ильясу!!!",5,TomYumBar,4.9,3678
Камилла Ермаханова,23 апреля 2025,"Огромное спасибо Ильясу, приятный парень и хорошее обслуживание ❤️",5,TomYumBar,4.9,3678
Акылбек Момбеков,23 апреля 2025,"Сегодня всей семьёй посетили Tomyum Bar и остались очень довольны. Особенно хотим поблагодарить официанта Ильяса за его профессионализм и доброжелательность. Он был внимателен к каждому нашему пожеланию, помог с выбором блюд и создал уютную атмосферу. Благодаря Ильясу наш семейный ужин прошёл замечательно. Обязательно вернёмся снова!",5,TomYumBar,4.9,3678
Аяулым Дуйсенбекова,"23 апреля 2025, отредактирован",Спасибо официанту Ильясу😍 все понравилось 👍,5,TomYumBar,4.9,3678
Дианка Жакупбекова,23 апреля 2025,Прекрасное заведение с очень вкусной едой. Особая благодарность официанту Илясу за отличное обслуживание и внимание к гостям!,5,TomYumBar,4.9,3678
Кемаль Алматаев,23 апреля 2025,"Хорошее заведение, очень вкусная еда, клевый официант нас обслуживал, спасибо Ильясу🫶",5,TomYumBar,4.9,3678
Нурмухамед Кулахмет,23 апреля 2025,"Отличное место, песни вообще супер, и хотелось бы отдельно поблагодарить и отметить официанта по имени Ильяс! Оперативный, вежливый и четкий паренек👍",5,TomYumBar,4.9,3678
yumeko yuu✨,23 апреля 2025,"Хочу выразить благодарность официанту Ильяс за отличный сервис! Очень вежливый, внимательный и тактичный. Помог с выбором блюд, всё подал быстро и с улыбкой. Видно, что человек на своём месте — создал приятную атмосферу и сделал вечер ещё лучше. Спасибо, Ильяс! Обязательно вернемся снова.",5,TomYumBar,4.9,3678
Tomiris Maxatkyzy,23 апреля 2025,"Недавно посетила TomYumBar и осталась в полном восторге! Атмосфера уютная и современная, персонал приветливый и внимательный. Заказала том ям с креветками — вкус просто потрясающий: насыщенный бульон, свежие ингредиенты, идеальный баланс остроты и кислинки. Также понравились спринг-роллы и коктейли — всё на высоком уровне. Обязательно вернусь снова и буду рекомендовать друзьям!И отдельно хочу сказать об обслуживание просто замечательный персонал особенно наш официант Ильяс очень приятный и внимательный сотрудник ушли с прекрасным настроением✨",5,TomYumBar,4.9,3678
Gaukhar Akhmetova,23 апреля 2025,"Пришла сюда по совету друзей попробовать том ям — суп оказался очень вкусным, насыщенным и ароматным. Отдельное спасибо официанту Ильясу — очень внимательный, спокойный и доброжелательный. Благодаря нему было приятно не только вкусно поесть, но и просто находиться в заведении☺️🤍",5,TomYumBar,4.9,3678
Saltanat Toktarakyn,23 апреля 2025,"Очень понравился ресторан! Том ям — просто огонь🔥насыщенный, ароматный, идеально сбалансирован по вкусу. Особенно хочу поблагодарить официантку Жасмин — внимательная, добрая, всё подсказала и сделала вечер ещё приятнее. Обязательно вернёмся!🤩",5,TomYumBar,4.9,3678
аяжан 🍭,23 апреля 2025,"пару часов назад посетили это заведение, интерьер, кухня просто вау
обслуживание на высшем уровне, хочу отдельно поблагодарить официантку Жасмин, очень милая девушка",5,TomYumBar,4.9,3678
Assel Bazarbayeva,23 апреля 2025,"Просто чудесное место, зашли случайно, искала суши рядом, если честно рядом ходила много и мимо, теперь пока все меню не перепробую буду сюда ходить. Сервис супер Жансая дала рекомендации по чаю и меню 👌❤️",5,TomYumBar,4.9,3678
Берик Курмантай,22 апреля 2025,Рис ужасный а том ям в целом очень вкусный 😍,1,TomYumBar,4.9,3678
Apple User,"21 апреля 2025, отредактирован","Вкусный Том ям, но верните нормальное количество креветок. Их всего 2 в порции 🥲",3,TomYumBar,4.9,3678
Алижан Досманов,"21 апреля 2025, отредактирован",Очень вкусный томям,5,TomYumBar,4.9,3678
Гулзада Ерғазықызы,21 апреля 2025,"Сегодня пришли поесть том ям — всё понравилось, еда очень вкусная.
Но лимонад совсем безвкусный, вообще не понравился, только он немного испортил настроение.
А так всё отлично👍🏻",3,TomYumBar,4.9,3678
Артем Блоков,"21 апреля 2025, отредактирован",Самый вкусный Том ям в Алмате. Все вкусно и классно! Спасибо большое официанту Умит за обслуживание,5,TomYumBar,4.9,3678
habibi cat🐈‍⬛,"21 апреля 2025, отредактирован",кухня 100 из 10!☺️,5,TomYumBar,4.9,3678
Марина Кондратова,"20 апреля 2025, отредактирован",Томям наивкуснейший!,5,TomYumBar,4.9,3678
Gulnara Alzhanova,"20 апреля 2025, отредактирован","Хорошее заведение, в гугл-карте тоже оставляла отзыв, была в феврале 2025г., здесь вкусно готовят том-ям, и остроту мне сделали слабую, именно так, как просила.",5,TomYumBar,4.9,3678
Ахмаджон Табаров,20 апреля 2025,Самый лучший том ям в городе 👍🏻,5,TomYumBar,4.9,3678
Yerlan Sarzhanov,"20 апреля 2025, отредактирован","Еда очень вкусная, персонал вежливый",5,TomYumBar,4.9,3678
Kusya A,"20 апреля 2025, отредактирован","Еда очень вкусная, место спокойное, красивый интерьер, хорошее обслуживание, вежливый персонал. Любимый устроил свиданку 🤭",5,TomYumBar,4.9,3678
alexander khan,20 апреля 2025,Genuine tom yum taste.,5,TomYumBar,4.9,3678
И Е,28 апреля 2025,"Посетили данное заведение в субботу, обслуживание 0. Девушка с родинкой обслуживала нас, с каменным лицом и тяжелым взглядом, на вопросы по поводу состава пищи еле отвечала, с натяжкой. Счет ждали 15 минут, потом расчета еще столько же, а она рядом бегала и не подходила. Подошел отзывчивый, внимательный официант славянской внешности, огромное ему спасибо за работу, он нас рассчитал. И на выходе когда мы выходили та официантка громко 2 раза спросила у него, «они оплатили счет?» во весь голос, на весь зал. Что вызвало у нас еще больше недоумения. А администратор женщина с мятой рубашкой выборочно подходила ко столикам у кого заранее бронь. Остальные которые посещают не люди что ли?! Мы сидели смотрели как всех вокруг обслуживают, а нам даже счет не могут принести! Даже если кухня вкусная второй раз точно не придем! И обучите своих работников казахскому языку, официантка и администратор не знают казахского языка.",1,Таверна на углях,4.6,1724
Саниям Армидинова,"23 апреля 2025, отредактирован","Одно из любимых мест , когда хочется очень вкусно поесть )) одно из лучших заведений в Талгаре ❤️",5,Таверна на углях,4.6,1724
М К,19 апреля 2025,Шашлыки из баранины на вкус как постное мясо говядины и как будто просто из духовки☹️,3,Таверна на углях,4.6,1724
Бахрам Сидиров,19 апреля 2025,"Доброго дня!
В Данное заведение ходим с семьей исключительно что бы поесть стейки уже более трех лет!
Посетили теверну в очередной раз 18.04.2025г и были удивлены порцией стейка, ранее порция была действительно большая то есть супруга немогла ее полностью сьесть, но сегодня нам принесли очень ТОНКИЙ ШМАТ СУХОГО МЯСА который даже не весил 100гр, кость была огромная, а мясо очень маленькое и тонкое!
ОЧЕНЬ НАДЕЯЛИСЬ ЧТО ДАННОЕ ЗАВЕДЕНИЕ НЕ ИСПОРТИТСЯ!
НО УВЫ ЦЕНЫ ПОВЫСИЛИ, А КАЧЕСТВО, И ПОРЦИИ ПОНИЗИЛИ!",1,Таверна на углях,4.6,1724
Said Abbasovich,"18 апреля 2025, отредактирован","Еда в этом заведении = невероятные впечатления и восторг! Думал будет как в большинстве кофешек, я никогда так не ошибался!!! Это просто обалденно объедительно",5,Таверна на углях,4.6,1724
Назар Аскаров,"18 апреля 2025, отредактирован",Неплохо,4,Таверна на углях,4.6,1724
Mary Deltair,13 апреля 2025,"Отмечала вчера день рождения. Зашли в одно заведение где нас просто игнорили и мы ушли и далее начались поиски.
Один хочет шашлык, второй креветки, третий харчо
Столько место обзвонили и в итоге муж психанул и сказал о вот мы же были здесь 2 года назад и пошли сюда я
В итоге здесь было все это.
Официант просто душка! Обслужили прекрасно, все было вкусно! Это был прекрасный вечер! Счет вышел не большой.
Сделали скидку в честь дня рождения. Смотрела в меню на этот десерт, но передумала и в момент мне приносят его и поздравляют ☺️☺️☺️
Несомненно я вернусь сюда еще раз!!!
10/10",5,Таверна на углях,4.6,1724
Милана Ержанова,13 апреля 2025,Шашлык очень вкусный! 10/10,5,Таверна на углях,4.6,1724
Анна,"11 апреля 2025, отредактирован",Так себе конторка,2,Таверна на углях,4.6,1724
zaj4enok-5,10 апреля 2025,"Сегодня были, уже не первый раз! Кухня очень вкусная, персонал вежливый и внимательный! ОФИЦИАНТ ЕРСИН,благодарим за внимательность и прекрасное обслуживание!Детям бургеры очень понравились! Стейк тамогавк 👍👍👍 мозговые кости - во рту таят, в животе летают)))
У младшей дочи сегодня день рождения, 7 лет, от заведения сделали поздравление, подарили очень вкусный тортик со свечкой, доча в восторге ☺️☺️☺️ и плюс сделали скидку -10% имениннику . Благодарим.",5,Таверна на углях,4.6,1724
Гаухар Алиева,9 апреля 2025,Все вкуснр,5,Таверна на углях,4.6,1724
Аблаким Перуза,"7 апреля 2025, отредактирован","Очень вкусно здесь. Когда бронь делала попросила место чтобы с коляской было удобно, приехали а там для нас большое место освободили. Официант, забыла имя, русский парень, супер сервис был. Очень все вежливые. само заведение старенькое, но это неважно было для нас. А с парковкой конечно тяжело там",5,Таверна на углях,4.6,1724
Сункар Султанов,"7 апреля 2025, отредактирован","Очень вкусно, обожаю мимино",5,Таверна на углях,4.6,1724
Жанель Ерболовна,7 апреля 2025,Самые вкусные пельмени и шашлыки 😍❤️‍🔥 обслуживание на высшем уровне,5,Таверна на углях,4.6,1724
Иван Андреевич,"6 апреля 2025, отредактирован","Отличное заведение. Большой выбор блюд по приемлемым ценам, на ланч действует скидка 20%",5,Таверна на углях,4.6,1724
Бекзат Сансызбай,"30 марта 2025, отредактирован","Обажаю этот ресторан, особенно мой любимый суп по домашнему, также шашлыки очень вкусные!",5,Таверна на углях,4.6,1724
Даниял Нусипбеков,30 марта 2025,"Готовят очень вкусно, сервис отличный",5,Таверна на углях,4.6,1724
Александр Михайлов,"30 марта 2025, отредактирован",Надеюсь в сентябре отмечу свое день рождение в этом заведении. И пусть это будет традицией.,5,Таверна на углях,4.6,1724
Матвей Малахов,28 марта 2025,"Отличное заведение, все на высоком уровне, также их фирменная хачапури просто Супер 👍",5,Таверна на углях,4.6,1724
Random Guy,"25 марта 2025, отредактирован","кухня хорошая, но болтливых официантов много! говорить много не надо, главное делать красиво",4,Таверна на углях,4.6,1724
Дана Сайлаубай,22 марта 2025,Официант Шахназ👍🏻👍🏻,5,Таверна на углях,4.6,1724
A A,20 марта 2025,"Отличное заведение в особенности администраторша ЭЛЯ великолепное обслуживание, сама обслужила сама все обустроила одни позитивные эмоции",5,Таверна на углях,4.6,1724
Сергей Донец,"19 марта 2025, отредактирован","Обслуживание хорошее
Мясо прям слабое",2,Таверна на углях,4.6,1724
Bakyt Jaksylykov,17 марта 2025,"Керемет жер! Хачапури мен қойдың қабырғасынан жасалған кәуаптары тіл үйіреді! Әсіресе мангодан жасалған салқын сусыны тіл үйіреді! Даяшылары өте сыпайы, сервис жоғары деңгейде! Отбасы, достарымызды ертіп жақын күндері сіздерге тағы бармақшы болып шештік! Ыстық пеште піскен хачапуридің дәмі естен кетер емес!
Жұмыстарыңыз алға қарыштап дами берсін! Аспаздар мен персоналға, басшылықтарыңызға мың алғыс! Осындай мықты жерге баруды барлықтарыңызға баруға кеңес беремін!",5,Таверна на углях,4.6,1724
