Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
CHEE SE,12 января 2025,"Крутая пицца, будем чаще ходить к ним, не знаю как она будет при доставке, но свежая из печи просто бомба",5,Chicago Pizza,4.6,777
Kamila Yeleussizova,11 января 2025,Очень вкусная пицца! Много сыра и очень вкусное тесто👍🏻 Одна из лучших что я когда-либо ела. Рада открыть для себя новое заведение с хорошим обслуживанием и вкусной кухней :),5,Chicago Pizza,4.6,777
Юрий Хит,"11 января 2025, отредактирован","Попробовали заказать доставку чикагской пиццы, доставили быстро еще горячую.

В целом, вкусная, но вся почти одинаковая, нет смысла брать разные.

Цены средние и на мой взгляд такая пицца того не стоит, еще и недовес, в одной не достает около 100гр в другой около 200гр.

(За сервис добавлю одну звезду)",4,Chicago Pizza,4.6,777
Dominus Userbaeva,"5 января 2025, отредактирован","На любителя. Я лично пыталась как то полюбить это местечко и кухню, не получилось. Только обслуживание отличное 🤩",3,Chicago Pizza,4.6,777
Катя Алёна,"5 января 2025, отредактирован",Самая вкусная пицца.,5,Chicago Pizza,4.6,777
Нэйтан Янг,"4 января 2025, отредактирован","Если хотите попробовать одну из лучших и необычных пицц в городе, то вам сюда, только заказывайте большую пиццу, точно не пожалеете, был несколько раз, всегда вкусно и персонал хороший, лайк сто процентов",5,Chicago Pizza,4.6,777
Aiganym Batyrkhan,31 декабря 2024,Очень вкусная пицца!!! Официант был вежливым. Сервис на 100% Дизайн внутри просто шикарен,5,Chicago Pizza,4.6,777
Айгерим Жумаева,29 декабря 2024,Никогда не ела такую вкусную пиццу👍,5,Chicago Pizza,4.6,777
Фатима Тегинбаева,27 декабря 2024,"Впервые посетили это заведение. Успели перед закрытием. Обслуживала нас официант по имени Алина. Мы попросили проконсультировать. Взяли глубокую мясную.
Кайф. Очень вкусная. Я про пиццу.

Обслуживание 9/10
Пицца 9/10
Интерьер 8/10

Придется с друзьями прийти🙌",5,Chicago Pizza,4.6,777
Айсылу Абдрахманова,27 декабря 2024,Классная пиццерия. Готовят божественно вкусную пиццу.,5,Chicago Pizza,4.6,777
Ирина Аскарбекова,26 декабря 2024,Хорошая пиццерия все понравилось сотрудники вежливые спасибо сотруднику за быстроту,5,Chicago Pizza,4.6,777
Дастан Алпысбаев,25 декабря 2024,"Много сыра, богатая начинка, а тесто идеально хрустящее. Маленькая, но уютная пиццерия.",5,Chicago Pizza,4.6,777
Гаухар Алибекова,25 декабря 2024,"Лучшая пиццерия! Супер вкусно, огромный выбор, качественное обслуживание, отзывчивые сотрудники! Огромное спасибо за вашу работу! Всем рекомендую!",5,Chicago Pizza,4.6,777
Габиден Флуд,"25 декабря 2024, отредактирован","Очень вкусная пицца, хоть цена выше средней. Но пицца реально как в Чикаго, я сам живу в штатах уже лет 5 и эта пицца реально на уровне. Если вам интересна необычная пицца то стоит посетить это место.",5,Chicago Pizza,4.6,777
Не указано,"29 ноября 2022, отредактирован","Всегда хороший сервис! Перепробовала все позиции бургеров, и все вкусные! Солянка вообще моя любовь! Пиво тоже отличное!",5,Vilka,4.6,2203
Нурсултан Мырзаканов,28 апреля 2025,"Побывал вчера в этом заведении все было вкусно пиво свежий приятный интерьер персонал приветливый официанты шустрые
Одним словом 5 из 5 скоро хочу привести семью",5,Vilka,4.6,2203
Сабина Бирюкова,"28 апреля 2025, отредактирован",Отличное место. Вкусные стейки,5,Vilka,4.6,2203
Den Nuri,"28 апреля 2025, отредактирован","12/10 лайк за стейки, очень вкусные 👍🏽",5,Vilka,4.6,2203
Nazar Ursumbetov,27 апреля 2025,Соотношение качества и цены 10 из 10. Каждый раз прихожу и всегда ухожу довольный стэйком. Спасибо,5,Vilka,4.6,2203
User User,"27 апреля 2025, отредактирован","Люблю данное заведение , всегда с удовольствием провожу время и самое главное вкусно !
Обслуживание хорошее.",5,Vilka,4.6,2203
Johny Smith,27 апреля 2025,"Приходили постоянно к вам,но один раз принеси стейк с рисом,рис ужасно вонял, и у меня и у моего гостя,а он приехал с другого города,я его специально тогда к вам привел. Рис вонял сыростью,позже у нас были проблемы с желудком. И повар и официант сами это подтвердили что это было ужасно просто. Испортилось качество еды, передумали к вам вообще ходить. И родственникам посоветовали больше не посещать ваши заведения.",1,Vilka,4.6,2203
Потомок Аттилы,26 апреля 2025,"Я ваш постоянный клиент. Пожалуйста научите своих ребят наливать пиво с пенкой. Пиво без пенки, это уже другой напиток. Во всех заведениях типа Paulaner, Харатс и тд. наливают с пеной это другой вкус пива.
И также чаще уборку делать.",3,Vilka,4.6,2203
OnePlus User,26 апреля 2025,"Самые вкусные бургеры в Алматы которые я пробовал, самый изящный это бургер с курицей.
Сочная курочка, хрустящий салат и нежный соус – идеальное сочетание! А ещё обязательно стоит попробовать фирменный бургер с мраморной говядиной. Просто пальчики оближешь! Где ещё в Алматы можно найти такие бургеры?",5,Vilka,4.6,2203
Мария Винокурова,25 апреля 2025,"Для меня сейчас это самое крутое место по подаче и качеству блюд. Спасибо, что добавляете новинки в виде буратты. Это восторг! У вас всегда вкусно. Прекрасные официанты и невероятно вкусное мясо, птица и рыба. Обожаю уже много лет !",5,Vilka,4.6,2203
Rinat Dalabayev,24 апреля 2025,"Шикарное заведение! Самый вкусный стейк в городе. Обслуживание на высшем уровне! Хочу отметить официанта по имени Астан, очень приятный парень профессионал своего дела",5,Vilka,4.6,2203
S .,23 апреля 2025,"Полный провал. Никому не советую.
Заказали ти-бон стейк полной прожарки. Подчеркну: полной. Принесли – с кровью, как будто мы просили медиум ред. Официантка начала рассказывать сказки, что, оказывается, “с одной стороны от косточки может быть прожарено, а с другой — с кровью, это нормально”. Вы серьезно?

Итог: 16.850 тенге — в мусорку, потому что есть это невозможно. Желудок остался пустой, настроение испорчено.
Спасибо, что так «любите» своих посетителей. Именно так и теряют клиентов.",1,Vilka,4.6,2203
Александр .,22 апреля 2025,"Отличное место, приятная атмосфера, вкусная еда, были с друзьями, всё понравилось, вежливый персонал, будем посещать это место в дальнейшем",5,Vilka,4.6,2203
Key Arm,21 апреля 2025,"Хочу сказать что я часто посещаю данное заведение, стейки просто вкусно до безумия, отдельное спасибо официантке Галине за хороший сервис СПАСИБО!",5,Vilka,4.6,2203
Dariya Bilisbek,21 апреля 2025,"Хочу выразить благодарность сотруднице ресторана Галине за прекрасное обслуживание! Очень внимательная, доброжелательная и профессиональная. Благодаря ей наш вечер прошёл в тёплой и уютной атмосфере. Всё было организовано на высшем уровне. Огромное спасибо Галине за её труд и отличное настроение, которое она дарит гостям! Обязательно вернёмся снова!",5,Vilka,4.6,2203
